Appendix 1 Tasers first issued to authorised firearms officers and first issued to specially trained units						
						
		England and Wales				
Force	First issued to Authorised Firearms Officers	"First
Issued to Specially Trained Units"				
						
Total England and Wales						
						
North East Region						
Cleveland	2005	2010				
Durham	2005	2009				
Northumbria	2005	2007				
North West Region						
Cheshire	2005	2010				
Cumbria	2005	2009				
Greater Manchester	2004	2009				
Lancashire	2005	2009				
Merseyside	2004	2007				
Yorkshire and the Humber Region						
Humberside	2005	2009				
North Yorkshire	2005	2009				
South Yorkshire	2005	2009				
West Yorkshire	2005	2010				 
East Midlands Region						
Derbyshire	2005	2009				
Leicestershire	2005	2009				
Lincolnshire	2004	2007				
Northamptonshire	2003	2009				
Nottinghamshire	2006	2009				
West Midlands Region						
Staffordshire	2005	2009				
Warwickshire	2005	2009				
West Mercia	2005	2009				
West Midlands	2005	2009				
East of England Region						
Bedfordshire	2005	2009				
Cambridgeshire	2005	2013				
Essex	2004	2013				
Hertfordshire	2006	2008				
Norfolk	2004	2008				
Suffolk	2005	2008				
London Region						
City of London	2004	2009				
Metropolitan	2003	2007				
South East Region						
Hampshire	2006	2009				
Kent	2005	2009				
Surrey	2005	2009				
Sussex	2006	2013				
Thames Valley	2003	2013				
South West Region						
Avon & Somerset	2005	2007				
Devon and Cornwall 	2005	2007				
Dorset	2005	2009				
Gloucestershire	2006	2009				
Wiltshire	2006	2009				
Wales						
Dyfed-Powys	2006	2009				
Gwent	2005	2007				
North Wales	2005	2009				
South Wales	2006	2010				
						
Source: Home Office						
